,Enzyme,Subsystem
571,Q9LK23,pentose phosphate pathway
572,Q9LK29,oxidative phosphorylation
573,Q9LK36,methionine synthesis
574,Q9LKA3,tricarboxylic acid cycle
575,Q9LKA3,glyoxylate cycle
576,Q9LLC1,fatty acid synthesis
577,Q9LM13,glycolysis
578,Q9LMI0,trehalose synthesis
579,Q9LMR3,tyrosine synthesis
580,Q9LMX8,pentose phosphate pathway
581,Q9LPR4,leucine synthesis
582,Q9LPW0,Calvin-Benson cycle
583,Q9LQ10,aspartate synthesis
584,Q9LQ10,
585,Q9LQF2,sucrose degradation
586,Q9LQK9,pyruvate metabolism
587,Q9LR30,photorespiration
588,Q9LR30,alanine synthesis
589,Q9LR30,glycine synthesis
590,Q9LRR9,photorespiration
591,Q9LRR9,glycine synthesis
592,Q9LRS0,photorespiration
593,Q9LRS0,glycine synthesis
594,Q9LSD0,nucleotide metabolism
595,Q9LSH2,glutamate degradation
596,Q9LT69,serine synthesis
597,Q9LTW8,CTP synthesis
598,Q9LU21,
599,Q9LU95,glycolysis
600,Q9LUT2,
601,Q9LV03,glutamate synthesis
602,Q9LV77,asparagine synthesis
603,Q9LV77,lysine synthesis
604,Q9LV77,methionine synthesis
605,Q9LV91,starch degradation
606,Q9LVI8,glutamine synthesis
607,Q9LVM2,
608,Q9LVW7,arginine synthesis
609,Q9LVW7,UMP synthesis
610,Q9LW15,oxidative phosphorylation
611,Q9LXC9,pyrophosphate recycling
612,Q9LXJ2,oxidative phosphorylation
613,Q9LXL5,sucrose degradation
614,Q9LXS6,pyruvate metabolism
615,Q9LYG3,pyruvate metabolism
616,Q9LYR2,oxidative phosphorylation
617,Q9LYR4,pentose phosphate pathway
618,Q9LYT7,leucine synthesis
619,Q9LYU8,lysine synthesis
620,Q9LYU8,methionine synthesis
621,Q9LYU8,threonine synthesis
622,Q9LZ66,sulfur assimilation
623,Q9LZC3,pyruvate metabolism
624,Q9LZG0,ADN salvage
625,Q9LZQ0,oxidative phosphorylation
626,Q9LZX6,lysine synthesis
627,Q9M044,glycolysis
628,Q9M057,glycolysis
629,Q9M076,glycolysis
630,Q9M0F9,glycolysis
631,Q9M1B9,sucrose degradation
632,Q9M1D3,tricarboxylic acid cycle
633,Q9M1D3,glyoxylate cycle
634,Q9M1W4,methionine synthesis
635,Q9M394,sucrose degradation
636,Q9M401,isoleucine synthesis
637,Q9M401,leucine synthesis
638,Q9M401,valine synthesis
639,Q9M439,isoleucine synthesis
640,Q9M439,leucine synthesis
641,Q9M439,valine synthesis
642,Q9M5K2,pyruvate decarboxylation
643,Q9M5K2,photorespiration
644,Q9M5K2,tricarboxylic acid cycle
645,Q9M5K3,pyruvate decarboxylation
646,Q9M5K3,photorespiration
647,Q9M5K3,tricarboxylic acid cycle
648,Q9M682,nucleotide metabolism
649,Q9M8D3,IMP synthesis
650,Q9M8M7,arginine synthesis
651,Q9M9K1,gluconeogenesis
652,Q9M9K1,glycolysis
653,Q9M9P3,sucrose synthesis
654,Q9M9P3,sucrose degradation
655,Q9M9P3,pyrophosphate recycling
656,Q9MA79,sucrose synthesis
657,Q9MA79,gluconeogenesis
658,Q9MA79,glycolysis
659,Q9MAC8,starch synthesis
660,Q9MAH0,gluconeogenesis
661,Q9MB58,sucrose synthesis
662,Q9S702,lysine synthesis
663,Q9S702,methionine synthesis
664,Q9S702,threonine synthesis
665,Q9S714,light reactions
666,Q9S726,Calvin-Benson cycle
667,Q9S726,pentose phosphate pathway
668,Q9S757,cysteine synthesis
669,Q9S762,histidine synthesis
670,Q9S7A0,glutamate synthesis
671,Q9S7B5,threonine synthesis
672,Q9S7D8,sulfur assimilation
673,Q9S7E4,THF recycling
674,Q9S7E9,photorespiration
675,Q9S7E9,alanine synthesis
676,Q9S7E9,glycine synthesis
677,Q9S7H1,light reactions
678,Q9S7H4,phenylalanine synthesis
679,Q9S7H4,tyrosine synthesis
680,Q9S7L9,oxidative phosphorylation
681,Q9S7N7,light reactions
682,Q9S829,
683,Q9S831,light reactions
684,Q9S841,light reactions
685,Q9S9N6,
686,Q9SA14,leucine synthesis
687,Q9SA18,lysine synthesis
688,Q9SA18,methionine synthesis
689,Q9SA18,methionine synthesis
690,Q9SA18,threonine synthesis
691,Q9SA34,GMP synthesis
692,Q9SA56,light reactions
693,Q9SA96,phenylalanine synthesis
694,Q9SAJ4,gluconeogenesis
695,Q9SAJ4,glycolysis
696,Q9SAJ6,glycolysis
697,Q9SAK4,glutamate degradation
698,Q9SAU2,Calvin-Benson cycle
699,Q9SAU2,pentose phosphate pathway
700,Q9SCL7,arginine synthesis
701,Q9SCS3,gluconeogenesis
702,Q9SCS3,glycolysis
703,Q9SCY0,starch synthesis
704,Q9SCY0,sucrose synthesis
705,Q9SCY0,sucrose degradation
706,Q9SCY3,
707,Q9SD76,starch degradation
708,Q9SDL7,methionine synthesis
709,Q9SE60,methionine synthesis
710,Q9SE60,THF recycling
711,Q9SF85,ADN salvage
712,Q9SG91,oxidative phosphorylation
713,Q9SGC1,starch synthesis
714,Q9SGC1,sucrose synthesis
715,Q9SGC1,sucrose degradation
716,Q9SGD6,phenylalanine synthesis
717,Q9SGH4,
718,Q9SGY2,actyl-coenzyme A synthesis
719,Q9SH69,pentose phosphate pathway
720,Q9SHE8,light reactions
721,Q9SHG0,trehalose synthesis
722,Q9SHP0,serine synthesis
723,Q9SI61,IMP synthesis
724,Q9SIB9,tricarboxylic acid cycle
725,Q9SIB9,pyruvate metabolism
726,Q9SIB9,glyoxylate cycle
727,Q9SID0,sucrose degradation
728,Q9SIE1,aspartate synthesis
729,Q9SIE1,phenylalanine synthesis
730,Q9SIE1,
731,Q9SIE1,tyrosine synthesis
732,Q9SIK1,starch synthesis
733,Q9SIU0,
734,Q9SJ05,Shikimate pathway
735,Q9SJ20,nucleotide metabolism
736,Q9SJ22,cellulose synthesis
737,Q9SJ66,sucrose synthesis
738,Q9SJH7,pyruvate metabolism
739,Q9SJL8,
740,Q9SJM7,ADN salvage
741,Q9SJQ0,glycolysis
742,Q9SJQ9,sucrose synthesis
743,Q9SJQ9,gluconeogenesis
744,Q9SJQ9,glycolysis
745,Q9SJU4,Calvin-Benson cycle
746,Q9SJU4,glycolysis
747,Q9SJV7,oxidative phosphorylation
748,Q9SKE0,tricarboxylic acid cycle
749,Q9SKE0,oxidative phosphorylation
750,Q9SKJ5,cellulose synthesis
751,Q9SKP6,Calvin-Benson cycle
752,Q9SKP6,sucrose synthesis
753,Q9SKP6,glycolysis
754,Q9SKP6,gluconeogenesis
755,Q9SKT7,
756,Q9SLK0,pyruvate metabolism
757,Q9SMS0,
758,Q9SN86,pyruvate metabolism
759,Q9SPK5,THF recycling
760,Q9SQG2,nucleotide metabolism
761,Q9SQQ7,glycolysis
762,Q9SQT8,Shikimate pathway
763,Q9SR52,proline synthesis
764,Q9SR86,alanine synthesis
765,Q9SRV5,methionine synthesis
766,Q9SRZ6,pyruvate metabolism
767,Q9SSB8,oxidative phosphorylation
768,Q9SSE7,phenylalanine synthesis
769,Q9SSP5,threonine synthesis
770,Q9SSS9,
771,Q9STG6,nucleotide metabolism
772,Q9STG9,IMP synthesis
773,Q9SU38,ADN salvage
774,Q9SU39,trehalose synthesis
775,Q9SUB4,carbon fixation
776,Q9SUD3,oxidative phosphorylation
777,Q9SUI4,light reactions
778,Q9SUI5,light reactions
779,Q9SUI6,light reactions
780,Q9SUI7,light reactions
